code,description, teu
22BU,20 BULK CONTAINER, 1	
22GP,20 GENERAL PURPOSE CONTAINER, 1
22HR,20 INSULATED CONTAINER, 1
22PF,20 FLAT (FIXED ENDS), 1
8888,Uncontainerised, 0
22PC,20 FLAT (COLLAPSIBLE), 1
22RT,20 REEFER CONTAINER, 1
22TN,20 TANK CONTAINER, 1
22UT,20 OPEN TOP CONTAINER, 1
22UP,20 HARDTOP CONTAINER, 1
22VH,20 VENTILATED CONTAINER, 1
29PL,20 PLATFORM, 1
42GP,40 GENERAL PURPOSE CONTAINER, 2
42HR,40 INSULATED CONTAINER, 2
42PF,40 FLAT (FIXED ENDS), 2
42PC,40 FLAT (COLLAPSIBLE), 2
42RT,40 REEFER CONTAINER, 2
42TD,40 TANK CONTAINER, 2
42UT,40 OPEN TOP CONTAINER, 2
42UP,40 HARDTOP CONTAINER, 2
42VH,40 VENTILATED CONTAINER, 2
45GP,40 HIGH CUBE CONTAINER, 2
45RT,40 REEFER HIGHCUBE CONTAINER, 2
45UP,40 HIGH CUBE HARDTOP CONTAINER, 2
49PL,40 PLATFORM, 2
L5GP,45 HIGH CUBE CONTAINER, 2
L5R1,45 REEFER HIGHCUBE CONTAINER, 2
12TR,FLATBED, 0
